service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
19T0+56#2,0,0,0,0,1,0,0,20180201,20180731
19T0+05#4,0,1,1,1,1,0,0,20180101,20180107
19T0+n1,1,1,1,1,1,0,0,20180108,20180731
19T0+05#5,1,1,1,1,1,0,0,20180108,20180731
19T2+61,0,0,0,0,0,1,0,20180101,20180731
19T2#8,0,0,0,0,0,1,0,20180101,20180121
19T2+61#1,0,0,0,0,0,1,0,20180101,20180121
19T2#9,0,0,0,0,0,1,0,20180122,20180731
19T2+61#2,0,0,0,0,0,1,0,20180122,20180731
19T0#15,1,1,1,1,1,0,0,20180101,20180731
19T0+38#9,1,1,1,1,1,0,0,20180101,20180731
19T0+37#8,1,1,1,1,1,0,0,20180101,20180731
19T0+37#9,1,1,1,1,1,0,0,20180101,20180731
19T0+38#10,1,1,1,1,1,0,0,20180101,20180731
19T0#16,1,1,1,1,1,0,0,20180101,20180731
19T2#10,0,0,0,0,0,1,0,20180101,20180731
19T3#7,0,0,0,0,0,0,1,20180101,20180731
19T0+38#11,0,1,1,1,1,0,0,20180102,20180105
19T0#17,0,1,1,1,1,0,0,20180102,20180105
18T1,1,1,1,1,1,1,0,20180101,20180731
18T3,0,0,0,0,0,0,1,20180101,20180731
18T0,1,1,1,1,1,0,0,20180101,20180731
18T2,0,0,0,0,0,1,0,20180101,20180731
18T2+60,0,0,0,0,0,1,0,20180101,20180731
18T6,0,0,0,0,1,0,0,20180101,20180731
18T0+50,0,0,0,0,1,0,0,20180101,20180731
18T4,0,0,0,0,0,1,1,20180101,20180731
11TA,1,1,1,1,1,1,1,20180101,20180731
11T0,1,1,1,1,1,0,0,20180101,20180731
11T2,0,0,0,0,0,1,0,20180101,20180731
11T0+37,1,1,1,1,1,0,0,20180101,20180731
15T0,1,1,1,1,1,0,0,20180101,20180731
15T2,0,0,0,0,0,1,0,20180101,20180731
15TA,0,1,0,0,0,0,0,20180220,20180220
15TA#1,1,1,1,1,1,1,1,20180101,20180731
20T8,1,1,1,1,1,0,0,20180101,20180731
20T9,1,1,1,1,1,0,0,20180101,20180731
20T2,0,0,0,0,0,1,0,20180101,20180731
20T3,0,0,0,0,0,0,1,20180101,20180731
20T0,1,1,1,1,1,0,0,20180101,20180731
20T0+37,1,1,1,1,1,0,0,20180101,20180731
33T0+37,1,1,1,1,1,0,0,20180101,20180731
33T0+38,1,1,1,1,1,0,0,20180101,20180731
33T0,1,1,1,1,1,0,0,20180101,20180731
33T2,0,0,0,0,0,1,0,20180101,20180731
40T0,1,1,1,1,1,0,0,20180101,20180731
40T0+37,1,1,1,1,1,0,0,20180101,20180731
40T0+48,1,1,1,1,0,0,0,20180101,20180731
40T2,0,0,0,0,0,1,0,20180101,20180731
40T3,0,0,0,0,0,0,1,20180101,20180731
40T0+59,0,0,0,0,1,0,0,20180101,20180731
40T0+38,1,1,1,1,1,0,0,20180101,20180731
57T0+37,1,1,1,1,1,0,0,20180101,20180731
57T0+48,1,1,1,1,0,0,0,20180101,20180731
57T0,1,1,1,1,1,0,0,20180101,20180731
57T0+14,1,1,1,1,0,0,0,20180101,20180731
57T0+38,1,1,1,1,1,0,0,20180101,20180731
65T0,1,1,1,1,1,0,0,20180101,20180731
65T2,0,0,0,0,0,1,0,20180101,20180731
65T3,0,0,0,0,0,0,1,20180101,20180731
74T0,1,1,1,1,1,0,0,20180101,20180731
74T2,0,0,0,0,0,1,0,20180101,20180731
