route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-682-s18-1,1,682,Moosburg - Mauern Nandlstadt(-Oberappersdorf) - Leitersdorf(-Au/Rudelzhausen),701,,008351,FFFFFF
19-683-s18-1,1,683,Moosburg - Hörgertshausen - Rudelzhausen - Mainburg,701,,008351,FFFFFF
19-684-s18-1,1,684,Moosburg - Bergen - Nandlstadt - Tegernbach (Lkr.FS),701,,008351,FFFFFF
19-692-s18-1,1,692,Neufahrn - Gewerbepark Römerweg - Hallbergmoos/Ort,701,,008351,FFFFFF
19-693-s18-1,1,693,Schulzentrum/Lohhof - Kammerberg,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-695-s18-1,1,695,Garching-Hochbrück - Eching Süd - Allershausen - Kirchdorf a. d. Amper,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-698-s18-1,1,698,Ortsverkehr Hallbergmoos Hallbergmoos - Gewerbegebiet/Rathaus - Hallbergmoos,701,,008351,FFFFFF
19-703-s18-1,1,703,Karlsfelder Straße - Dachau - Odelzhausen - Unterweikertshofen - Gaggers,701,,008351,FFFFFF
19-704-s18-1,1,704,"Dachau - Schwabhausen - Welshofen - Kleinberghofen - Thalhausen - Lauterbach, Abzw.",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-706-s18-1,1,706,Allach Ost / Vogelloh - Karlsfeld - Dachau - Markt Indersdorf - Hilgertshausen (-Schiltberg/Klenau),701,,008351,FFFFFF
19-707-s18-1,1,707,Petershausen P&R-Platz - Jetzendorf - Hilgertshausen - Tandern - Altomünster,701,,008351,FFFFFF
19-708-s18-1,1,708,"Kammerberg, Post - Vierkirchen-Esterhofen - Weichs - Markt Indersdorf - Niederroth",701,,008351,FFFFFF
19-721-s18-1,1,721,Dachau - Odelzhausen - Unterumbach,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-723-s18-1,1,723,"DAH, Schulen - Hebertshausen (Walpertshofen)- Haimhausen - Inhausermoos",701,,008351,FFFFFF
19-725-s18-1,1,725,"Karlsfelder Straße - Dachau, Schulen - Dachau - Hebertshausen - Haimhausen - Viehbach",701,,008351,FFFFFF
19-727-s18-1,1,727,"Sigmertshausen - Röhrmoos - Hebertshausen, Schule",701,,008351,FFFFFF
19-728-s18-1,1,728,Obermarbach -  Petershausen - Markt Indersdorf - Niederroth - Sigmertshausen,701,,008351,FFFFFF
19-729-s18-1,1,729,Markt Indersdorf - Ainhofen - Weichs - Vierkirchen-Esterh.,701,,008351,FFFFFF
19-732-s18-1,1,732,Pasing - Sulzemoos - Odelzhausen - Gaggers/Egenburg,701,,008351,FFFFFF
19-785-s18-1,1,785,Petershausen P+R-Platz - Weichs - Markt Indersdorf - Erdweg,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-786-s18-1,1,786,"Petershausen P+R-Platz - Ziegelberg - Wasenhof, Abzw.",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-791-s18-1,1,791,Bergkirchen - Dachau - Eschenried - Gröbenried,701,,008351,FFFFFF
