service_id,date,exception_type
19T0+05#3,20180315,2
19T0+05#3,20180316,2
19T0+05#3,20180319,2
19T0+05#3,20180320,2
19T0+05#3,20180321,2
19T0+05#3,20180322,2
19T0+05#3,20180323,2
19T0+05#3,20180330,2
19T0+05#3,20180402,2
19T0+05#3,20180409,2
19T0+05#3,20180410,2
19T0+05#3,20180411,2
19T0+05#3,20180412,2
19T0+05#3,20180413,2
19T0+05#3,20180416,2
19T0+05#3,20180417,2
19T0+05#3,20180418,2
19T0+05#3,20180419,2
19T0+05#3,20180420,2
19T0+05#3,20180423,2
19T0+05#3,20180424,2
19T0+05#3,20180425,2
19T0+05#3,20180426,2
19T0+05#3,20180427,2
19T0+05#3,20180430,2
19T0+05#3,20180501,2
19T0+05#3,20180502,2
19T0+05#3,20180503,2
19T0+05#3,20180504,2
19T0+05#3,20180507,2
19T0+05#3,20180508,2
19T0+05#3,20180509,2
19T0+05#3,20180510,2
19T0+05#3,20180511,2
19T0+05#3,20180514,2
19T0+05#3,20180515,2
19T0+05#3,20180516,2
19T0+05#3,20180517,2
19T0+05#3,20180518,2
19T0+05#3,20180521,2
19T0+05#3,20180531,2
19T0+05#3,20180604,2
19T0+05#3,20180605,2
19T0+05#3,20180606,2
19T0+05#3,20180607,2
19T0+05#3,20180608,2
19T0+05#3,20180611,2
19T0+05#3,20180612,2
19T0+05#3,20180613,2
19T0+05#3,20180614,2
19T0+05#3,20180615,2
19T0+05#3,20180618,2
19T0+05#3,20180619,2
19T0+05#3,20180620,2
19T0+05#3,20180621,2
19T0+05#3,20180622,2
19T0+05#3,20180625,2
19T0+05#3,20180626,2
19T0+05#3,20180627,2
19T0+05#3,20180628,2
19T0+05#3,20180629,2
19T0+05#3,20180702,2
19T0+05#3,20180703,2
19T0+05#3,20180704,2
19T0+05#3,20180705,2
19T0+05#3,20180706,2
19T0+05#3,20180709,2
19T0+05#3,20180710,2
19T0+05#3,20180711,2
19T0+05#3,20180712,2
19T0+05#3,20180713,2
19T0+05#3,20180716,2
19T0+05#3,20180717,2
19T0+05#3,20180718,2
19T0+05#3,20180719,2
19T0+05#3,20180720,2
19T0+05#3,20180723,2
19T0+05#3,20180724,2
19T0+05#3,20180725,2
19T0+05#3,20180726,2
19T0+05#3,20180727,2
19T0+05#5,20180108,2
19T0+05#5,20180109,2
19T0+05#5,20180110,2
19T0+05#5,20180111,2
19T0+05#5,20180112,2
19T0+05#5,20180115,2
19T0+05#5,20180116,2
19T0+05#5,20180117,2
19T0+05#5,20180118,2
19T0+05#5,20180119,2
19T0+05#5,20180122,2
19T0+05#5,20180123,2
19T0+05#5,20180124,2
19T0+05#5,20180125,2
19T0+05#5,20180126,2
19T0+05#5,20180129,2
19T0+05#5,20180130,2
19T0+05#5,20180131,2
19T0+05#5,20180201,2
19T0+05#5,20180202,2
19T0+05#5,20180205,2
19T0+05#5,20180206,2
19T0+05#5,20180207,2
19T0+05#5,20180208,2
19T0+05#5,20180209,2
19T0+05#5,20180219,2
19T0+05#5,20180220,2
19T0+05#5,20180221,2
